Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA PARTICULAR VILMA VILA NOVA,35496736,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CEARA, 111 RUA. SAMARITA. 11345-045 São Vicente - SP.",(13) 996453664,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.9907029,-46.4747913
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PRIVILEGIO COLEGIO,35498865,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"QUINTINO BOCAIUVA, 675 E 685. CENTRO. 11320-010 São Vicente - SP.",(13) 34669130,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9677002,-46.3733756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PEQUENO APRENDIZ CRECHE ESCOLA,35499948,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"TENENTE JOSE DOS SANTOS, 269 JARDIM RIO BRANCO. 11347-100 São Vicente - SP.",(13) 35661738,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9766089,-46.4807817
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,VIDEIRA COLEGIO,35513647,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ALAGOAS, 120 RUA. JARDIM RIO BRANCO. 11347-190 São Vicente - SP.",(13) 35760800,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9844647,-46.4666953
ESCOLA PARALISADA,CENTRO ATEND SOCIO-EDUC ADOLESCENTE DE SAO VICENTE-UIP,35559519,SP,São Vicente,Urbana,Não Informado,Pública,"RODOVIA PADRE MANOEL DA NOBREGA, SAMARITA. 11346-300 São Vicente - SP.",(13) 34064603,Estadual,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO ATEND SOCIOEDUC ADOLESCENTE DE SAO VICENTE CI,35559520,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL DA NOBREGA, SN RODOVIA. SAMARITA. 11346-300 São Vicente - SP.",(13) 33253828,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9615142,-46.473623
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE CAMPELO VOVO CRECHE MUNICIPAL,35560856,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"GILBERTO ESTEVES MARTINS, 320 JARDIM RIO BRANCO. 11347-200 São Vicente - SP.",(13) 34060691,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9770725,-46.4760525
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARTES E MANHAS UNID II ESCOLA EDUC INFANTIL ENS FUNDAMENTAL,35560960,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO XAVIER DOS PASSOS, 425 RUA. VILA SAO JORGE. 11380-040 São Vicente - SP.",(13) 33299782,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.9555679,-46.3720716
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LAR DA CRIANCA FELIZ CRECHE MUNICIPAL,35561034,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"LOVELY PLAUCHUT PROFESSOR, 787 RUA. VILA MATEO BEI. 11335-300 São Vicente - SP.",(13) 34649299,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9670579,-46.4112822
ESCOLA PARALISADA,SENAT SERVICO NACIONAL DE APRENDIZAGEM DO TRANSPORTE,35565885,SP,São Vicente,Urbana,Não Informado,Privada,"PC ADALBERTO PANZAN, 151 ESPLANADA DOS BARREIROS. 11340-265 São Vicente - SP.",(13) 34651300,Privada,Não Informado,Não,,,,,                              ,                              
