Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LUIZ D AUREA PROFESSOR,35038842,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"OITO, 119 RUA. VILA NOVA SAO VICENTE. 11346-380 São Vicente - SP.",(13) 35661259,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.9877548,-46.4897726
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA DULCE MENDES PROFESSORA,35041634,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"TUPI, 500 RUA. PARQUE SAO VICENTE. 11355-500 São Vicente - SP.",(13) 34645390,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.953593,-46.4009204
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESMERALDO SOARES TARQUINIO DE CAMPOS FILHO,35049153,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO ULISSES GUIMARAES, 180 AVENIDA. JARDIM RIO BRANCO. 11347-000 São Vicente - SP.",(13) 35661164,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.9770446,-46.4775255
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL CAROLINA DANTAS,35056480,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"AURELIO PONNA, 26 RUA. CATIAPOA. 11390-310 São Vicente - SP.",(13) 34672425,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.9596994,-46.3838258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL DUQUE DE CAXIAS,35056492,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NAPOLEAO LAUREANO, SN PRACA. JARDIM GUASSU. 11370-600 São Vicente - SP.",(13) 35614862,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-23.9517432,-46.3780454
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL LIONS CLUBE,35056509,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"COSTA REGO, 533 RUA. VILA SAO JORGE. 11380-140 São Vicente - SP.",(13) 35614982,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.9558136,-46.3696327
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL MATTEO BEI I,35056510,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CARIJOS, 505 PARQUE SAO VICENTE. 11360-100 São Vicente - SP.",(13) 34671683,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-23.954569,-46.3985838
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL RAQUEL DE CASTRO FERREIRA,35056534,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NEWTON PRADO, 503 AVENIDA. MORRO DOS BARBOSAS. 11310-160 São Vicente - SP.",(13) 34676021,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.9716408,-46.3913308
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSOR EDMUNDO CAPELLARI,35056546,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"VITORIA, SN PRACA. VILA VOTURUA. 11380-640 São Vicente - SP.",(13) 35613794,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.961576,-46.3697866
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSOR CLEMENTE FERREIRA,35056558,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"LARGO PROFESSOR CLEMENTE FERREIRA, SN LARGO. VILA MELO. 11370-050 São Vicente - SP.",(13) 35616168,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9589704,-46.3788343
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL DOM PEDRO I,35070415,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOM PEDRO I, SN PRACA. PARQUE SAO VICENTE. 11360-240 São Vicente - SP.",(13) 34624613,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9521141,-46.398293
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL MARIO COVAS JUNIOR,35070920,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NILO DE SOUZA COELHO SENADOR, SN RUA. PARQUE DAS BANDEIRAS. 11346-040 São Vicente - SP.",(13) 35662499,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.9899428,-46.4819632
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AMEI PARQUE SAO VICENTE MARIA DE LOURDES BATISTA,35070932,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"RUBENS FERREIRA MARTINS, SN PARQUE SAO VICENTE. 11360-230 São Vicente - SP.",(13) 34646146,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.9521516,-46.4001783
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL CIDADE DE NAHA,35080779,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"GENERAL EITCHEGOYEN, 25 RUA. CATIAPOA. 11370-210 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.9580943,-46.3830812
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL ALBERTO SANTOS DUMONT,35080792,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"EDUARDO CACAO, SN RUA. JARDIM RIO BRANCO. 11347-150 São Vicente - SP.",(13) 35661498,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-23.9775809,-46.4777482
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL CARLOS CALDEIRA,35080809,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ARMINDO RAMOS, SN PRACA. SAMARITA. 11345-005 São Vicente - SP.",(13) 35662522,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9897581,-46.4755734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSORA ADILZA DE OLIVEIRA ROSA SOBRAL,35082247,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"31 DE MARCO, SN PRACA. CIDADE NAUTICA. 11335-355 São Vicente - SP.",(13) 34613375,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9412806,-46.4062333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PADRE JOSE DE ANCHIETA,35083793,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"BRASILIA, SN PRACA. PARQUE BANDEIRAS. 11346-005 São Vicente - SP.",(13) 35662517,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.9849958,-46.4849419
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSOR JOSE BORGES FERNANDES,35084633,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"SENADOR SALGADO FILHO, SN AVENIDA. JOQUEI CLUBE. 11360-200 São Vicente - SP.",(13) 34625330,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.9426134,-46.3965132
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIA MARIA DE JESUS CRECHE MUNICIPAL,35085108,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"HATCHIK ARMENIO CATCHJAN, 210 AVENIDA. CONJUNTO RESIDENCIAL HUMAITA. 11349-100 São Vicente - SP.",(13) 35640245,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9491447,-46.4591377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL CAIC AYRTON SENNA DA SILVA,35085911,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"IRMA MARIA RITA DE SOUZA BRITO LOPES IRMA DULCE, SN RUA. CONJUNTO RESIDENCIAL HUMAITA. 11349-330 São Vicente - SP.",(13) 34061399,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-23.9502191,-46.4579291
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSORA EULINA TRINDADE,35085923,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JURACY CAMARGO, SN PRACA. VILA MATEO BEI. 11335-355 São Vicente - SP.",(13) 34643937,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.961521,-46.4063103
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL REPUBLICA DE PORTUGAL,35089461,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"VINTE E TRES DE MAIO, 265 PRACA. PARQUE BITARU. 11310-170 São Vicente - SP.",(13) 34673496,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.9718088,-46.3930304
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSOR ANUAR FRAYHA,35099089,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE ADRIANO MARREY JUNIOR, SN RUA. CIDADE NAUTICA. 11340-310 São Vicente - SP.",(13) 34643482,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.9559209,-46.4134028
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROFESSORA KELMA MARIA TOFFETI GONCALVES,35099090,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"IRMA DULCE, SN AVENIDA. CONJUNTO RESIDENCIAL HUMAITA. 11349-000 São Vicente - SP.",(13) 35643477,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.9507765,-46.4555927
ESCOLA PARALISADA,UNIDADE EDUCACIONAL PROFESSORA MARIA GUILHERMINA MARTINS MACHADO,35099107,SP,São Vicente,Urbana,Não Informado,Pública,"AMERICO MARTINS DOS SANTOS, SN RUA. JARDIM PARAISO. 11370-550 São Vicente - SP.",(13) 35616425,Municipal,Não Informado,Não,,,,,-23.9522668,-46.3815632
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL MONTEIRO LOBATO,35099120,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"RIO LARGO, SN RUA. JARDIM NOSSO LAR. 11370-650 São Vicente - SP.",(13) 34681572,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.951815,-46.3876286
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL PROVINCIA DE OKINAWA,35099132,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"CIDADE DE CUBATAO, SN RUA. VILA MARGARIDA. 11330-680 São Vicente - SP.",,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,Atendimento Educacional Especializado,-23.967685,-46.4089001
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UNIDADE EDUCACIONAL VILA EMA,35099144,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR MARCELO RIBEIRO NOGUEIRA, SN RUA. VILA EMA. 11345-300 São Vicente - SP.",(13) 35661864,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-23.9927393,-46.4907148
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TANCREDO NEVES CRECHE MUNICIPAL,35099156,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NOSSA SENHORA APARECIDA, 551 PRACA. VILA NOSSA FATIMA. 11355-340 São Vicente - SP.",(13) 34630303,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.94833271,-46.40414734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAO VICENTE ATENEU,35110383,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"AMADOR BUENO DA RIBEIRA, 252 212. CENTRO. 11320-060 São Vicente - SP.",(13) 34686895,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9667024,-46.3768826
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOTRE DAME ESCOLA UNIDADE I,35110450,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PRESIDENTE WILSON, 278 AVENIDA. ITARARE. 11320-000 São Vicente - SP.",(13) 35791212,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9703236,-46.3718591
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,HENRIQUE OSWALD ESCOLA,35110474,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"AGUIAR CAPITAOMOR, 223 AVENIDA. CENTRO. 11310-201 São Vicente - SP.",(13) 34683507,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.9694975,-46.3919989
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO CULTURA,35110504,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"STELIO MACHADO LOUREIRO, 312 VILA NOSSA SENHORA DE FATIMA. 11355-240 São Vicente - SP.",(13) 34639990,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.9535871,-46.4049046
ESCOLA PARALISADA,ITA COLEGIO,35110516,SP,São Vicente,Urbana,Não Informado,Privada,"DJALMA DUTRA, 07 RUA. CENTRO. 11310-260 São Vicente - SP.",(13) 976006847,Privada,Não Informado,Não,,,,,-23.9682847,-46.388389
ESCOLA PARALISADA,CRECHE MUNICIPAL SILVIO DE ABREU,35120364,SP,São Vicente,Urbana,Não Informado,Pública,"ERNESTO SEBASTIAO DO NASCIMENTO, 182 RUA. JAPUI. 11325-070 São Vicente - SP.",(13) 35670330,Municipal,Não Informado,Não,,,,,-23.9880961,-46.3958848
ESCOLA PARALISADA,VOVO LENICE CRECHE MUNICIPAL,35120455,SP,São Vicente,Urbana,Não Informado,Pública,"PADRE ANDRE DE SOVERAL, 281 RUA. VILA EMA. 11345-310 São Vicente - SP.",(13) 35760219,Municipal,Não Informado,Não,,,,,-23.9923921,-46.4920569
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EXITO COLEGIO,35120819,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"DEODORO MARECHAL, 267 AVENIDA. VILA VALENCA. 11390-100 São Vicente - SP.",(13) 34680429,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.9648028,-46.3795442
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JEAN PIAGET COLEGIO,35121253,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"STELIO MACHADO LOUREIRO, 694 710. CIDADE NAUTICA. 11355-240 São Vicente - SP.",(13) 34621143,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.9500421,-46.4050013
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SEMENTINHA,35121332,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MONTE PLANO, 154 RUA. VILA MARGARIDA. 11335-020 São Vicente - SP.",(13) 34640555,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96274,-46.39965
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EXEMPLO COLEGIO,35122208,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SEBASTIAO RIBEIRO DA SILVA, 5 RUA. CONJUNTO RESIDENCIAL HUMAITA. 11349-140 São Vicente - SP.",(13) 35642887,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9494052,-46.4586447
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAO PEDRO COLEGIO,35126160,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FREI GASPAR, 4180 RUA. COMPANHIA NAUTICA. 11350-000 São Vicente - SP.",(13) 34642522,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9476307,-46.4134301
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CELLULA MATER COLEGIO UNIDADE II,35137807,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PRESIDENTE WILSON, 1252 AVENIDA. CENTRO. 11320-000 São Vicente - SP.",(13) 34676160,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.96954,-46.37363
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SANTA ROSA COLEGIO,35140764,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"CAMPOS DE BURY, 187 RUA. CENTRO. 11310-350 São Vicente - SP.",(13) 34695072,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-23.9631106,-46.3943092
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOTRE DAME ESCOLA UNIDADE II,35141677,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"PERO CORREA, 526 RUA. ITARARE. 11320-140 São Vicente - SP.",(13) 35791212,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9698555,-46.3684327
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,VERDE QUE TE QUERO VERDE ESCOLA,35144320,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FREITAS GUIMARAES, 152 RUA. ITARARE. 11320-140 São Vicente - SP.",(13) 33243624,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.9698196,-46.3699862
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,APAE DE SAO VICENTE ESCOLA DE EDUCACAO ESPECIAL,35149731,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"FELICIANA MARCONDES DA SILVA, 205 RUA. VILA CASCATINHA. 11390-220 São Vicente - SP.",(13) 34673991,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-23.9618542,-46.3828481
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INTEGRACAO COLEGIO UNIDADE II,35151130,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"AGUIAR CAPITAOMOR, 572 AVENIDA. CENTRO. 11310-200 São Vicente - SP.",(13) 35698100,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.96632765,-46.39164985
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NASCIMENTO COLEGIO,35151221,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"COSTA REGO, 50 RUA. VILA SAO JORGE. 11380-140 São Vicente - SP.",(13) 35615642,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9547447,-46.3742159
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LIDER COLEGIO,35159293,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"TAMBAU, 123 133. VILA NOSSA SENHORA DE FATIMA. 11355-030 São Vicente - SP.",(13) 34648157,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-23.9543072,-46.4065133
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,APOIO COLEGIO,35159311,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ANTONIO DOS SANTOS BARBOSA, 283 RUA. CIDADE NAUTICA. 11340-320 São Vicente - SP.",(13) 34648361,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9543502,-46.4116252
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FORTEC ESCOLA TECNICA UNID IV,35160477,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"WILSON PRESIDENTE, 1013 AVENIDA. ITARARE. 11320-001 São Vicente - SP.",(13) 35692525,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.967344,-46.3782042
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASTELINHO CENTRO DE EDUCACAO,35175146,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"JOSE MONTEIRO PREFEITO, 3341 AVENIDA. JARDIM INDEPENDENCIA. 11380-001 São Vicente - SP.",(13) 35613905,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9611846,-46.3763905
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CORACAOZINHO II ESCOLA DE EDUCACAO INFANTIL,35175225,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MONTEIRO LOBATO, 190 AVENIDA. VILA VALENCA. 11380-500 São Vicente - SP.",(13) 34695936,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.96561,-46.37253
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SANTA MARGARIDA NUCLEO DE RECREACAO INFANTIL,35175249,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VEREADOR JOSE VICENTE DE BARROS, 41 RUA. VILA MARGARIDA. 11330-560 São Vicente - SP.",(13) 34624108,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96880083,-46.40244637
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BRANCA DE NEVE ESCOLA DE EDUCACAO INFANTIL,35175250,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"MANUEL COVAS RAIA, 389 RUA. VILA SAO JORGE. 11380-070 São Vicente - SP.",(13) 35611712,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.95528,-46.37042
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LAR DE ASSISTENCIA AO MENOR,35175304,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"NICOLAU PATRICIO MOREIRA, 225 RUA. ESPLANADA DOS BARREIROS. 11340-380 São Vicente - SP.",(13) 34643373,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9532628,-46.415752
ESCOLA PARALISADA,NOSSA SENHORA DE FATIMA CRECHE MUNICIPAL,35175336,SP,São Vicente,Urbana,Não Informado,Privada,"STELIO MACHADO LOUREIRO, 66 RUA. VILA NOSSA SENHORA DE FATIMA. 11355-240 São Vicente - SP.",(13) 34642627,Privada,Não Informado,Não,,,,,-23.9555476,-46.4048457
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SONHO DA CRIANCA CRECHE MUNICIPAL,35175389,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"VALE DO PO, 768 VILA MARGARIDA. 11330-670 São Vicente - SP.",(13) 34649897,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.9669402,-46.4074435
