NOME,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,DS_TURNO_ATENDIMENTO,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_AMBULATORIAL_SUS
UNIDADE BASICA DE SAUDE TANCREDO NEVES SAO VICENTE,11350560,RUA LUIZ MEIRELES DE ARAUJO,160,CIDADE NAUTICA,(13)34641262,-239416158403.0,-464190812685.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PRONTO ATENDIMENTO CIDADE NAUTICA SAO VICENTE,11310000,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,(13)34642700,-23.9511168,-46.4062141,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE BASICA DE SAUDE NAUTICA III SAO VICENTE,11340380,RUA NICOLAU PATRICIO MOREIRA,225,CIDADE NAUTICA,1334638266,-239543155.0,-464158961.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
SAMU 192 SAO VICENTE 1,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23950617.0,-46406652.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 3,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23950607.0,-46406641.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 4,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,1334637876,-23.9511168,-46.4062141,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,,,0.0,0.0,NAO
SAMU 192 SAO VICENTE 6,11355230,PRACA IMIGRACAO JAPONESA,S/N,CIDADE NAUTICA,,-23951077.0,-464063359.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,,,0.0,0.0,NAO
SEST SENAT UNIDADE B N51 SV,11340265,ADALBERTO PANZAN,151,CIDADE NAUTICA III,61 33157000,-239519031209.0,-464163431525.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
HOSPITAL DR OLAVO HORNEAUX DE MOURA SAO VICENTE,11349000,RUA ALFREDO SCHAMMAS,S/N,CJTO HUMAITA,1334061822,-23949914.0,-4645965.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",0.0,0.0,0.0,0.0,1.0,1.0,SIM
DROGAFARMA HUMAITA SV,11349390,HATCHIC ARMENIO CAICHJIAN,232,CONJUNTO RESIDENCIAL,13 30224716,-239495106936.0,-464594623446.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
SORRIDENTS CLINICAS ODONTOLOGICAS SV,11340100,SENADOR CESARIO BASTOS,225,ESPLANADA DOS BARREI,18 98266150,-239577712435.0,-464019584656.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
ESF ESPLANADA DOS BARREIROS SAO VICENTE,11330750,AV BRASIL,S/N,ESPLANADA DOS BARREI,1334641257,-239653309.0,-464134111.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
POSTO DE ENFERMAGEM DO GONZAGUINHA SAO VICENTE,11320440,AV EMBAIXADOR PEDRO DE TOLEDO,S/N,GONZAGUINHA,1334663605,-23970567.0,-46383927.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ORLANDO FERREIRA DA COSTA SAO VICENTE,11320060,AMADOR BUENO DA RIBEIRA,64,GONZAGUINHA,(13)34681270,-23.9649861,-46.3761608,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
BEAUTY GRAF CENTER SAO VICENTE,11320110,GONCALO MONTEIRO,189,GONZAGUINHA,(13)34697846,-23.9691548,-46.3733805,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
